,word,TF-IDF
0,trump,0.6783852941351355
1,even,0.35921175612379286
2,donald,0.34733709782074323
3,president,0.3217619849933261
4,like,0.21928325533491902
5,would,0.2110537046139692
6,people,0.20471290112408824
7,one,0.19605932076609867
8,also,0.11666632336197037
9,image,0.0
10,said,0.0
11,the,0.0
12,time,0.0
13,via,0.0
